Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,241,2,3,28,55,41,81
P2_quad_10_1000,FAIL,FAIL,2,3,57,113,FAIL,FAIL
P3_quad_1000_10,143,285,SKIP,SKIP,40,79,57,113
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,21,20,39,78,155,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,22,44,35,70,49,75
P8_rosenbrock_100,69,133,SKIP,SKIP,112,231,111,225
P9_datafit_2,791,1414,7,13,16,31,25,49
P10_exponential_10,23,43,16,31,20,45,153,1415
P11_exponential_1000,23,43,SKIP,SKIP,11,15,11,15
P12_genhumps_5,213,371,101,152,73,113,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,8,14,27,52,FAIL,62
P14_rosenbrock_2_1000,FAIL,FAIL,12,16,60,85,FAIL,150
